name,arabic_name
Dossary Al-Darwesh Bakery,ãÎÈÒ ÏæÓÑí ÇáÏÑæíÔ
Dossary Food Stuff,ÏæÓÇÑí ÇáãæÇÏ ÇáÛÐÇÆíÉ
Dream Meal,æÌÈÉ ÇáÃÍáÇã
Dream World,ÚÇáã ÇáÃÍáÇã
DT,Ïí Êí
Dudu Fashion,ÏæÏæ ÝÇÔæä
East n West Restaurant,ãØÚã ÅíÓÊ Åä æíÓÊ
Eastern Gulf Factory,ãÕäÚ ÇáÎáíÌ ÇáÔÑÞí
Eastern Pillow,æÓÇÏÉ ÔÑÞíÉ
Eat n Pack Restaurant,ãØÚã ÇíÊ ÇäÏ ÈÇß
Ekhtiar Hadaek,ÅÎÊíÇÑ åÏÇÆÞ
Electronovation,ÇáÊÌÏíÏ ÇáßåÑÈÇÆí
Elegenc Corner,Ñßä ÅáíÌäß
Elmia Bookstore,ãßÊÈÉ ÇáãíÇ
Elya,ÅíáíÇ
Eman,ÅíãÇä
Envelopes and Paper Bag Factory,ãÕäÚ ÇáãÛáÝÇÊ æÇáÃßíÇÓ ÇáæÑÞíÉ
ESM Al-Raqui,ESM ÇáÑÇÞí
Exhibition,ãÚÑÖ
Eyadath Al-Haya Al-Sakaniyah (JAC),ÅííÇÏ ÇáÍíÇÉ ÇáÓßÇäíÉ (JAC)
F (Marinze),F (Marinze)
Fahad Supplies,ÊæÑíÏÇÊ ÝåÏ
Faham Sanadiyan,ÝåÇã ÓäÏíÇä
Faique Fashion,ÝÇíÞ ÝÇÔæä
Fairmart Supermarket,ÝíÑãÇÑÊ ÓæÈÑ ãÇÑßÊ
Fajar Al-Ebayat,ÝÌÑ ÇáÚÈíÇÊ
Fajar Al-Inara,ÝÌÑ ÇáÚäÇÑÇ
Fakhera,ÝÇÎÑÉ
Falah Marketing,ÝáÇÍ ááÊÓæíÞ
Family Center,ãÑßÒ ÇáÚÇÆáÉ
Family Supplies,ãÓÊáÒãÇÊ ÇáÃÓÑÉ
Faraj Coldstore,ÝÑÌ ßæáÏÓÊæÑ
Fares,ÝÇÑÓ
Fascino,ÝÇÓíäæ
Fashion On Baseel,ÃÒíÇÁ Úáì ÈÇÒíá
Fashion Shop (FS),ãÊÌÑ ÇáÃÒíÇÁ (FS)
Fast Call (FC),ãßÇáãÉ ÓÑíÚÉ (FC)
Fatina,ÝÇÊíäÇ
Fawaz Restaurant,ãØÚã ÝæÇÒ
Fawaz Haleej,ÝæÇÒ ÍáíÌ
Anud Cold Store,ãÎÒä ÇáÃäæÏ ÇáÈÇÑÏ
Fayez Al-Qamber Trading Establishment,ãÄÓÓÉ ÝÇíÒ ÇáÞãÈÑ ÇáÊÌÇÑíÉ
Fayum Center,ãÑßÒ ÇáÝíæã
Feum,Ýíã
Fillfilah,ÇáÝíáÝíáÉ
Fionka,ÝíæäßÇ
Fire Brigade 998,ÝÑÞÉ ÇáÅØÝÇÁ 998
First Lady,ÇáÓíÏÉ ÇáÃæáì
First Shoes (ASH),ÇáÃÍÐíÉ ÇáÃæáì (ASH)
Firuzy Restaurant,ãØÚã ÝíÑæÒí
Five Circle,ÎãÓ ÏæÇÆá
"Five, Ten, Fifteen","ÎãÓÉ ¡ ÚÔÑÉ ¡ ÎãÓÉ ÚÔÑ"
Biofood,ÇáÃÛÐíÉ ÇáÍíæíÉ
Four Seasons,ÝæÑÓíÒæäÒ
Fozan (Hardware),ÝæÒÇä (ÇáÃÌåÒÉ)
Fozan (Electrical),ÝæÒÇä (ßåÑÈÇÆí)
France Scarf (FS),æÔÇÍ ÝÑäÓÇ (FS)
Free Home Delivery,ÊæÕíá ãÌÇäí ááãäÇÒá
French Designer,ãÕãã ÝÑäÓí
Fresh Samboosah,ÓãÈæÓÉ ØÇÒÌÉ
Funel,Ýæäíá
Fursan Sweets and Nuts,ÝÑÓÇä ÍáæíÇÊ æãßÓÑÇÊ
Future Digital Solutions,Íáæá ÇáãÓÊÞÈá ÇáÑÞãíÉ
Future Science for Electronics,Úáã ÇáãÓÊÞÈá ááÅáßÊÑæäíÇÊ
Gahwa Al-Arabia (Arabian Coffee),ÞåæÉ ÇáÚÑÈíÉ (ÞåæÉ ÚÑÈíÉ)
Ghada (KS),ÛÇÏÉ (ßÇäÓÇÓ)
GCC Olayan,ÇáÚáíÇä ÇáÎáíÌí
General Dynamics,ÇáÏíäÇãíÇÊ ÇáÚÇãÉ
General Store,ÇáãÊÌÑ ÇáÚÇã
Ghader,ÛÏíÑ
Ghali Yarkhaslak,ÛÇáí íÑÎÓáß
Giant Store,ãÊÌÑ ÚãáÇÞ
Gift,åÏíÉ
Gifts Door,ÈÇÈ ÇáåÏÇíÇ
Gift House,ÈíÊ ÇáåÏÇíÇ
Gift World,ÚÇáã ÇáåÏÇíÇ
Good Morning USA,ÕÈÇÍ ÇáÎíÑ ÇáæáÇíÇÊ ÇáãÊÍÏÉ ÇáÃãÑíßíÉ
Golden Carwash,ÛÓíá ÇáÓíÇÑÇÊ ÇáÐåÈí
Golden Crown,ÇáÊÇÌ ÇáÐåÈí
Golden Fertilizer,ÓãÇÏ ÐåÈí
Gosaibi Services,ÎÏãÇÊ ÇáÞÕíÈí
Green Fields Fertilzer,ÌÑíä ÝíáÏÒ ÝÑÊíáÒÑ
Green Tea,ÔÇí ÃÎÖÑ
Green Wings,ÃÌäÍÉ ÎÖÑÇÁ
Gulf Metro,ãÊÑæ ÇáÎáíÌ
Gulf Samposa,ÓãÈæÓÇ ÇáÎáíÌ
Gulf Uniform,ÇáÒí ÇáÎáíÌí
Hababah Fashions,ÃÒíÇÁ ÍÈÇÈÉ
Hadded TSD,TSD ãÏÑÌ
Ramzi Al-Khabaz Pharmacy,ÕíÏáíÉ ÑãÒí ÇáÎÈÇÒ
Hadiyah for Dates,åÏíÉ ááÊãæÑ
Hali Restaurant,ãØÚã åÇáí
Ahlan Wa Sallan (Gahwa Al-Arabia),ÃåáÇ æÓáÇä (ÞåæÉ ÇáÚÑÈíÉ)
Hamad Trading,ÍãÏ ááÊÌÇÑÉ
Hana Chicken,åÇäÇ ÏÌÇÌ
Happy Night,áíáÉ ÓÚíÏÉ
Harees,ÇáåÑíÓ
Hassan A.S. Al-Khadar,ÍÓä ÚÈÏÇáÕãÏ ÇáÎÖÑ
Hassan Food Center,ãÑßÒ ÍÓä ááãÃßæáÇÊ
Hayat,ÍíÇÉ
Hayil Shopping Center,ãÑßÒ åÇíá ááÊÓæÞ
Hazana,ÍÒÇäÉ
Hadiya,åÏíÉ
Heat Establishment,ãÄÓÓÉ ÇáÍÑÇÑÉ
Hempel,åãÈá
Hina Abu Al-Ez,ÍäÇ ÃÈæ ÇáÚÒ
Homestyle,åæã ÓÊÇíá
Horia Trading Establishment,ãÄÓÓÉ ÍæÑíÉ ÇáÊÌÇÑíÉ
Hot Meals,æÌÈÇÊ ÓÇÎäÉ
Humrani,ÍãÑÇäí
Husaiki,åæÓÇíßí
Husain Al-Tahir Trading Establisment,ÍÓíä ÇáØÇåÑ ááÊÃÓíÓ ÇáÊÌÇÑí
Hussain Al-Tahir Al-Qattan,ÍÓíä ÇáØÇåÑ ÇáÞØÇä
Huya,åæíÇ
Huzam Special Gifts,åÏÇíÇ åÒÇã ÇáÎÇÕÉ
Hydeah,åíÏíå
Ibn Sina,ÇÈä ÓíäÇ
Ibrahim Engineering Consultant,ÅÈÑÇåíã ááÇÓÊÔÇÑÇÊ ÇáåäÏÓíÉ
Ibrahim Trading,ÅÈÑÇåíã ááÊÌÇÑÉ
Infected Waste,ÇáäÝÇíÇÊ ÇáãÕÇÈÉ
Infectious Medical Waste,ÇáäÝÇíÇÊ ÇáØÈíÉ ÇáãÚÏíÉ
Intercontinental Hotel,ÝäÏÞ ÅäÊÑßæäÊíääÊÇá
International Paints,ÇáÏåÇäÇÊ ÇáÏæáíÉ
Iram Palace,ÞÕÑ ÅÑã
Iranian and Arabic Food,ãÃßæáÇÊ ÅíÑÇäíÉ æÚÑÈíÉ
Isam O. Al-Ali Establishment,ãÄÓÓÉ ÚÕÇã Èä ÚÈÏÇáÚáí
ISCOL,ÅíÓßæá
Isolation Linen,ÈíÇÖÇÊ ÇáÚÒá
Issah Al-Dossary,ÚíÓì ÇáÏæÓÑí
Italian Rose,ÇáæÑÏ ÇáÅíØÇáí
Jabr Trading,ÌÈÑ ááÊÌÇÑÉ
Jameel Exhibition,ãÚÑÖ Ìãíá
Janat Al-Ahram,ÌäÉ ÇáÃåÑÇã
Janob Charcoal,ÝÍã ÌÇäæÈ
Jarash,ÌÑÔ
Jawad Al-Moghanni Establishment,ãÄÓÓÉ ÌæÇÏ ÇáãÛÇäí
Jawharah Center,ãÑßÒ ÌæåÑÉ
Jawhareat Hajer Complex,ãÌãÚ ÌæåÑÇÊ åÇÌÑ
Jawharia Coal,ÇáÝÍã ÌæåÑíÇ
Jazeera Lil Jalabiyat,ÇáÌÒíÑÉ áíá ÌáÇÈíÇÊ
Jazeera Restaurant,ãØÚã ÇáÌÒíÑÉ
Jazim,ÌÇÒíã
Jazirah Arabia,ÇáÌÒíÑÉ ÇáÚÑÈíÉ
Jazeera Al-Binaa Trading Establishment,ãÄÓÓÉ ÇáÌÒíÑÉ ÇáÈäÇÁ ÇáÊÌÇÑíÉ
Jeans Apparel,ãáÇÈÓ ÇáÌíäÒ
Jeans Kemp,ÌíäÒ ßíãÈ
Jeel Branch,ÝÑÚ Ìíá
Jinah Al-Akhder,ÌäÇÍ ÇáÃÎÖÑ
Jnoub Shopping Center,ãÑßÒ ÊÓæÞ ÌäæÈ
JP Center,ãÑßÒ Ìí Èí
Jubail Coldstore,ÇáÌÈíá ßæáÏÓÊæÑ
Juhairan Shopping Center,ãÑßÒ ÌåíÑÇä ááÊÓæÞ
Joory Palace,ÌæÑí ÈÇáÇÓ
KA,ßÇ
Kabayan Supermarket,Kabayan ÓæÈÑ ãÇÑßÊ
KAFA,ßÝì
Kaldi,ßÇáÏí
Kan Zaman Restaurant,ãØÚã ßÇä ÒãÇä
Kanari,ßäÇÑí
Karbala,ßÑÈáÇÁ
Kareem Trading Establishment,ãÄÓÓÉ ßÑíã ÇáÊÌÇÑíÉ
Katwati,ßÇÊæÇÊí
kawkab Al-Ard,ßæßÈ ÇáÃÑÖ
Kayed,ßÇíÏ
Kenzy,ßíäÒí
Khafji Joint Operation,ÚãáíÉ ÇáÎÝÌí ÇáãÔÊÑßÉ
Khaial,ÎíÇá
Khair,ÇáÎíÑ
Khaldon Al-Emerini,ÎáÏæä ÇáÇãÑíäí
Khaleed S. Al-Sana Establishment,ãÄÓÓÉ ÎÇáÏ Èä ÕÇáÍ ÇáÕäÚÇÁ
Khaleej Restaurant,ãØÚã ÇáÎáíÌ
Khatif Al-Adwa,ÎØÇÈ ÇáÚÏæÉ
Khayam Studio,ÇÓÊæÏíæ ÇáÎíÇã
Khobar Discount Center,ãÑßÒ ÇáÎÈÑ ááÎÕã
Khobar Plastic,ÇáÎÈÑ ÈáÇÓÊíß
Khonaini Supermarket,Îæäíäí ÓæÈÑ ãÇÑßÊ
Kulsum,ßáÓæã
Kwatim Hadramoth,ßæÇÊíã åÇÏÑÇãæÊ
La Poire,áÇ ÈæÇÑ
La Sani,áÇ ÓÇäí
Lamsat Shahad,áãÓÇÊ ÔåÏ
Last Over,ÂÎÑ
Lateefa Hamed Al-Dossary Ladies Tailoring,áØíÝÉ ÍÇãÏ ÇáÏæÓÑí ááÎíÇØÉ ÇáäÓÇÆíÉ
Latif,áØíÝ
Laundry Bag,ÍÞíÈÉ ÛÓíá
Lewan Restaurant,ãØÚã áíæÇä
Lias,áíÇÓ
Libanon Green Restaurant,ãØÚã áíÈÇäæä ÌÑíä
Lights Trading Establishment,ãÄÓÓÉ ÇáÃÖæÇÁ ÇáÊÌÇÑíÉ
Lilas,áíáÇÓ
Lily,ÒäÈÞ
501 Shoppe,501 ÔæÈí
Lolo,áæáæ
Lora Saleh Qatani,áíÑÉ ÕÇáÍ ÞØÇäí
Lord,ÑÈ
Lucky Center,ãÑßÒ ÇáÍÙ
Luluat Al-Ferdos Pharmacy,ÕíÏáíÉ áæáæÇÊ ÇáÝÑÏæÓ
Lulu Al-Mazara,áæáæ ÇáãÒÇÑÉ
Lulu Ladies Center,ãÑßÒ Çááæáæ ááÓíÏÇÊ
Madyafix,ãÇÏíÇÝíßÓ
Mafares Sufra,ãÝÇÑÓ ÓÝÑÉ
Mahdi Al-Hutaili,ãåÏí ÇáÍØíáí
Mahdi Al-Hutaila Establishment,ãÄÓÓÉ ãåÏí ÇáÍØíáÉ
Mais AL-Rim,ãíÓ ÇáÑíã
Majdi House Needset,ãÌÏí åÇæÓ äíÏÓÊíÊ
Majed Fashion,ãÇÌÏ ÝÇÔæä
Majid Toys,ÃáÚÇÈ ãÇÌÏ
Makati Shopping Center,ãÑßÒ ãÇßÇÊí ááÊÓæÞ
Malaki,ãáÇßí
Malallah,ãááå
Malaz International,ãáÇÐ ÇáÏæáíÉ
Malboosath Arkan,ãÇáÈæÓÇË ÃÑßÇä
Malbusati,ãÇáÈæÓÊí
Malki,ÇáãÇáßí
Manakhel,ãäÇÎíá
Manameen,ÇáãäÇãíä
Manara Electric Co. Ltd.,ÔÑßÉ ÇáãäÇÑÉ ÇáßåÑÈÇÆíÉ ÇáãÍÏæÏÉ
Manhali Shopping Center,ãÑßÒ ãäåÇáí ááÊÓæÞ
Mani,ãÇäí
Manila,ãÇäíáÇ
Mansoor Pharmacy,ÕíÏáíÉ ãäÕæÑ
Markaz Al-Faizal Meat,ãÑßÒ ÇáÝíÕá ááÍæã
Marosh,ãÑæÔ
Mashwi Corner,Ñßä ãÔæí
Mazaya Al-Asaar,ãÒÇíÇ ÇáÚÕÇÑ
Mazaya Food,ãÒÇíÇ ÝæÏ
Multipurpose Cooperative (MCS),ÊÚÇæäíÉ ãÊÚÏÏÉ ÇáÃÛÑÇÖ (MCS)
Sabic Medical Clinic Services,ÎÏãÇÊ ÚíÇÏÉ ÓÇÈß ÇáØÈíÉ
Metro Center,ãÑßÒ ÇáãÊÑæ
Midhal Hotel,ÝäÏÞ ãíÏåÇá
Millenium,ÇáÇáÝíå
Mina Center,ãÑßÒ ãíäÇ
Mira Center,ãÑßÒ ãíÑÇ
Mirage Studio,ÇÓÊæÏíæ ãíÑÇÌ
Maharaja Palace Hotel,ÝäÏÞ ãåÑÇÌÇ ÈÇáÇÓ
Mama,ãÇãÇ
Modern Center Textiles,ÇáãäÓæÌÇÊ ÇáãÑßÒíÉ ÇáÍÏíËÉ
Modern Plastic Bag Factory,ãÕäÚ ÇáÃßíÇÓ ÇáÈáÇÓÊíßíÉ ÇáÍÏíËÉ
Modiest Fashion,ãæÏÓÊ ãæÖÉ
Modka Sweets,ÍáæíÇÊ ãæÏßÇ
Mohammed Shihab,ãÍãÏ ÔåÇÈ
Mohammad Mubarak,ãÍãÏ ãÈÇÑß
Mohammed Al-Sodair Trading Establishment,ãÄÓÓÉ ãÍãÏ ÇáÓÏíÑ ááÊÌÇÑÉ
Shaqsiyah Al-Momiaza,ÔÞíÉ ÇáãæãíÇÒÉ
Moulood,ãæáæÏ
Mozaini Trading,ãÒíäí ááÊÌÇÑÉ
Mukhaizeem Shopping Center,ãÑßÒ ãÎíÒíã ááÊÓæÞ
Muhktara Trading,ãÎÊÇÑÉ ááÊÌÇÑÉ
Mulaiki Fashion (MF),ãæáÇíßí ÝÇÔæä (MF)
Mulif Food Stuff,ãæáíÝ ááãæÇÏ ÇáÛÐÇÆíÉ
Mumaiza,ãÚíÒÉ
Muthana,ãËäì
Mutref,ãØÑÝ
MVC,MVC
My Aqar. Com,ÚÞÇÑí ßæã
My Baby,ÍÈíÈí
My Game,áÚÈÊí
Naemah,äÚãÉ
Nahed Trading Establishment,ãÄÓÓÉ äÇåÖ ÇáÊÌÇÑíÉ
Mijana Restaurant,ãØÚã ãíÌÇäÇ
Naher Al-Kerat,äÇåÑ ÇáßÑÇÊ
Naji Building Materials Supply,äÇÌí áÊæÑíÏ ãæÇÏ ÇáÈäÇÁ
Najma Al-Shawq Fashion,äÌãÉ ÇáÔæÞ ááÃÒíÇÁ
