name,arabic_name
Ali Fashions,ÃÒíÇÁ Úáí
Ali Saad Ali Qahtani,Úáí ÓÚÏ Úáí ÇáŞÍØÇäí
Alia Restaurant,ãØÚã ÚáíÇÁ
Alibaba Restaurant,ãØÚã Úáí ÈÇÈÇ
Alins Coffee,ŞåæÉ ÃáíäÓ
Almira Optics,ÇáãíÑÇ ááÈÕÑíÇÊ
Unamed1,Unamed1
Alukaizoom Al-Namoodiya,ÇáÚŞíÒæã ÇáäÇãæÏíÉ
Unamed2,Unamed2
Ameen Center,ãÑßÒ Ããíä
Ameri Center,ÇáãÑßÒ ÇáÚÇãÑí
Amrou Al-Atour Ferfumes,ÚãÑæ ÇáÚØæÑ Ferfumes
Annual Charity Run,ÇáÓÈÇŞ ÇáÎíÑí ÇáÓäæí
Hezaa,åÒÇÚ
Bazar,ÈÇÒÇÑ
Anwar Al-Basim Shoes,ÃÍĞíÉ ÃäæÑ ÇáÈÓã
Anwar Al-Fahad,ÃäæÑ ÇáİåÏ
Anwar Al-Safeer,ÃäæÑ ÇáÓİíÑ
Anowar Al-Tahany,ÃäæÇÑ ÇáØÍÇäí
Anyah,ÃäíÇ
Apex Auto Parts1,ŞØÚ ÛíÇÑ ÇáÓíÇÑÇÊ ÃÈíßÓ1
Apple,ÊİÇÍ
Arab National Bank,ÇáÈäß ÇáÚÑÈí ÇáæØäí
Arabian Center,ÇáãÑßÒ ÇáÚÑÈí
Arabian Food Supply,ÇáÊæÑíÏ ÇáÛĞÇÆí ÇáÚÑÈí
Arabic Readymade Textiles,ÇáãäÓæÌÇÊ ÇáÚÑÈíÉ ÇáÌÇåÒÉ
Arab Trading Company,ÇáÔÑßÉ ÇáÚÑÈíÉ ááÊÌÇÑÉ
Aran,ÇÑÇä
Arif Center,ãÑßÒ ÚÇÑİ
Armed Forces Hospital,ãÓÊÔİì ÇáŞæÇÊ ÇáãÓáÍÉ
Arusha Restaurant,ãØÚã ÃÑæÔÇ
Asawer Al-Sharq,ÃÓÇæíÑ ÇáÔÑŞ
ASDAF,ÃÕÏÇİ
Asef,ÂÕİ
ASH First Shoes,ÍĞÇÁ ASH İíÑÓÊ
ASK Varied Foods,ÇÓÃá ÇáÃØÚãÉ ÇáãÊäæÚÉ
ASMA,ÃÓãÇÁ
Assamar Charcoal,İÍã ÃÓãÑ
Assel Exhibition,ãÚÑÖ ÃÓíá
Assel Textiles,ÃÓíá ááãäÓæÌÇÊ
Assorte,ãÊäæÚÉ
Astoon,ÃÓÊæä
Aswar Al-Mandi,ÃÓæÇÑ ÇáãäÏí
ATC,ATC
ATE,ÇßáÊ
Athwaq,ÃËæÇŞ
Atlantic Systems,ÃäÙãÉ ÇáÃØáÓí
Atwi Trading Est.,ãÄÓÓÉ ÚØæí ááÊÌÇÑÉ
Atyaf Dubai Center,ÃØíÇİ ÏÈí ÓäÊÑ
Awad,ÚæÖ
Awael Ebayat (First Shoe),ÚæÇÆá ÚÈíÇÊ (ÇáÍĞÇÁ ÇáÃæá)
Awal Plastic Factory,ãÕäÚ ÃæÇá ááÈáÇÓÊíß
Awaridh Liltajmeel,ÚæÑíÏ áíáÊÇÌãíá
Awael Al-Itor,ÚÇÆá ÇáÚØæÑ
Ayshana Foods,ÚÇÆÔÇäÇ ááÃÛĞíÉ
Azizia (VMC),ÚÒíÒíÉ (VMC)
Baby Bancy,ÈíÈí ÈÇäÓí
Badariya Charcoal,İÍã ÇáÈÏÇÑíÉ
Badeea Charcoal,ÈÇÏíÚ İÍã
Badghaish,ÈÇÏÛíÔ
Bahrain Center,ãÑßÒ ÇáÈÍÑíä
Baidan Mutton Cubes,ãßÚÈÇÊ áÍã ÖÃä ÈíÏÇä
baihagi Bank Alikbar,Èäß ÇáÈíåÇÌí ÇáÅßÈÇÑ
Baith Al-Asaar,ÈíÊ ÇáÚÕÇÑ
Bakhaswain,ÈÇÎÇÓæíä
Baladi,ÈáÏí
Baowabat Al-Hayat Plaza,ÈÇæÇÈÇÊ ÇáÍíÇÉ ÈáÇÒÇ
Bar Bar Restaurant,ÈÇÑ ÈÇÑ ãØÚã
Barary Charcoal,İÍã ÈÇÑÇÑí
Baras Electric Corporation,ÔÑßÉ ÈÇÑÇÓ ááßåÑÈÇÁ
Bashri (B),ÈÔÑí (È)
Basim,ÈÇÓã
Basrah Restaurant,ãØÚã ÇáÈÕÑÉ
Bassam Zeena Bakhruji Trading,ÈÓÇã ÒíäÉ ÈÎÑæÌí ááÊÌÇÑÉ
Bayroni,ÈíÑæäí
Bashrawi Shopping Center,ãÑßÒ ÊÓæŞ ÈÔÑÇæí
BB2,BB2
Bayouni Trading,Èíæäí ááÊÌÇÑÉ
Aymeen Exhibition,ãÚÑÖ Ãíãíä
Abeer,ÚÈíÑ
Best Friends Toys,ÃİÖá ÃáÚÇÈ ÇáÃÕÏŞÇÁ
Beint Al-Arab Exchange,ÈíäÊ ÇáÚÑÈ ááÕÑÇİÉ
Beirut Tailor,ÈíÑæÊ ÎíÇØ
Beyroty,ÈíÑæÊí
Big World,ÚÇáã ßÈíÑ
Bin Afeef Center,ãÑßÒ Èä Úİíİ
Bin Sabt Trading Establishment,ãÄÓÓÉ Èä ÓÈÊ ÇáÊÌÇÑíÉ
Beint Al-Arab Exhibition,ãÚÑÖ ÈíäÊ ÇáÚÑÈ
Bint Al-Khaleej,ÈäÊ ÇáÎáíÌ
Bio-Hazard,ÇáÎØÑ ÇáÍíæí
Bismi Foods,ÈÇÓãí İæÏÒ
B+K,È + ß
Bombay Fashion,ÃÒíÇÁ ÈæãÈÇí
Bulbul Fashions,ÃÒíÇÁ ÈáÈá
Bundoo Khan Restaurant,ãØÚã ÈäÏæ ÎÇä
Buraiki Shopping Center,ãÑßÒ ÇáÈÑíßí ááÊÓæŞ
Buy and Save,ÇáÔÑÇÁ æÇáÍİÙ
Canary Meadows,ßäÇÑí ãíÏæÒ
Casa Grill,ßÇÒÇ ÌÑíá
Casa Juice,ÚÕíÑ ßÇÒÇ
Casual Jeans,ÌíäÒ ßÇÌæÇá
Charour Restaurant,ãØÚã ÔÇÑæÑ
Chicken Spicy,ÏÌÇÌ ÍÇÑ
Childs World,ÚÇáã ÇáÃØİÇá
Chocolatry,ÔæßæáÇÊÉ
Chowking,ÊÔæßíäÛ
Chubs,ÊÔæÈÓ
Sinderilla Ladies Center,ãÑßÒ ÓíäÏíÑíáÇ ááÓíÏÇÊ
City Sweet,ÓíÊí ÓæíÊ
Cloth Center,ãÑßÒ ÇáŞãÇÔ
Collection,ãÌãæÚÉ
Collection Center,ãÑßÒ ÇáÊÍÕíá
Cool Jeans,ÌíäÒ ÈÇÑÏ
Corniche Shopping Center,ãÑßÒ ÊÓæŞ ÇáßæÑäíÔ
Crispy Meal,æÌÈÉ ßÑÓÈí
Crystalat,ßÑíÓÊÇá
Dahan Shopping Center,ãÑßÒ ÏåÇä ááÊÓæŞ
Dahiya Eastern Shopping Center,ãÑßÒ ÇáÖÇÍíÉ ÇáÔÑŞí ááÊÓæŞ
Daiji Shopping Center,ãÑßÒ ÏÇíÌí ááÊÓæŞ
Dammam Clothes and Shoes,ÇáÏãÇã ááãáÇÈÓ æÇáÃÍĞíÉ
Dammam Palace Hotel,İäÏŞ ŞÕÑ ÇáÏãÇã
Dammam Shopping Center,ãÑßÒ ÊÓæŞ ÇáÏãÇã
Damond,ÏÇãæäÏ
Al-Dana Resturant,ãØÚã ÇáÏÇäÉ
Danger,ÎØÑ
Dar Restaurant,ãØÚã ÏÇÑ
Darul Khaleej,ÏÇÑ ÇáÎáíÌ
Desert Designs,ÊÕÇãíã ÇáÕÍÑÇÁ
Desert Mall,ÏíÒÑÊ ãæá
Dharan Pharmacy,ÕíÏáíÉ ÏÇÑÇä
DH Plaza,Ïí ÅÊÔ ÈáÇÒÇ
Dinar,ÏíäÇÑ
Discount Center,ãÑßÒ ÇáÎÕã
Divakaran International Group of Companies,ãÌãæÚÉ ÔÑßÇÊ ÏíİÇßÇÑÇä ÇáÏæáíÉ
Diafa Broasted,ÏíÇİÇ ÈÑæÓÊÏ
Dossary Al-Darwesh Bakery,ãÎÈÒ ÏæÓÑí ÇáÏÑæíÔ
Dossary Food Stuff,ÏæÓÇÑí ÇáãæÇÏ ÇáÛĞÇÆíÉ
Dream Meal,æÌÈÉ ÇáÃÍáÇã
Dream World,ÚÇáã ÇáÃÍáÇã
DT,Ïí Êí
Dudu Fashion,ÏæÏæ İÇÔæä
East n West Restaurant,ãØÚã ÅíÓÊ Åä æíÓÊ
Eastern Gulf Factory,ãÕäÚ ÇáÎáíÌ ÇáÔÑŞí
Eastern Pillow,æÓÇÏÉ ÔÑŞíÉ
Eat n Pack Restaurant,ãØÚã ÇíÊ ÇäÏ ÈÇß
Ekhtiar Hadaek,ÅÎÊíÇÑ åÏÇÆŞ
Electronovation,ÇáÊÌÏíÏ ÇáßåÑÈÇÆí
Elegenc Corner,Ñßä ÅáíÌäß
Elmia Bookstore,ãßÊÈÉ ÇáãíÇ
Elya,ÅíáíÇ
Eman,ÅíãÇä
Envelopes and Paper Bag Factory,ãÕäÚ ÇáãÛáİÇÊ æÇáÃßíÇÓ ÇáæÑŞíÉ
ESM Al-Raqui,ESM ÇáÑÇŞí
Exhibition,ãÚÑÖ
Eyadath Al-Haya Al-Sakaniyah (JAC),ÅííÇÏ ÇáÍíÇÉ ÇáÓßÇäíÉ (JAC)
F (Marinze),F (Marinze)
Fahad Supplies,ÊæÑíÏÇÊ İåÏ
Faham Sanadiyan,İåÇã ÓäÏíÇä
Faique Fashion,İÇíŞ İÇÔæä
Fairmart Supermarket,İíÑãÇÑÊ ÓæÈÑ ãÇÑßÊ
Fajar Al-Ebayat,İÌÑ ÇáÚÈíÇÊ
Fajar Al-Inara,İÌÑ ÇáÚäÇÑÇ
Fakhera,İÇÎÑÉ
Falah Marketing,İáÇÍ ááÊÓæíŞ
Family Center,ãÑßÒ ÇáÚÇÆáÉ
Family Supplies,ãÓÊáÒãÇÊ ÇáÃÓÑÉ
Faraj Coldstore,İÑÌ ßæáÏÓÊæÑ
Fares,İÇÑÓ
Fascino,İÇÓíäæ
Fashion On Baseel,ÃÒíÇÁ Úáì ÈÇÒíá
Fashion Shop (FS),ãÊÌÑ ÇáÃÒíÇÁ (FS)
Fast Call (FC),ãßÇáãÉ ÓÑíÚÉ (FC)
Fatina,İÇÊíäÇ
Fawaz Restaurant,ãØÚã İæÇÒ
Fawaz Haleej,İæÇÒ ÍáíÌ
Anud Cold Store,ãÎÒä ÇáÃäæÏ ÇáÈÇÑÏ
Fayez Al-Qamber Trading Establishment,ãÄÓÓÉ İÇíÒ ÇáŞãÈÑ ÇáÊÌÇÑíÉ
Fayum Center,ãÑßÒ Çáİíæã
Feum,İíã
Fillfilah,ÇáİíáİíáÉ
Fionka,İíæäßÇ
Fire Brigade 998,İÑŞÉ ÇáÅØİÇÁ 998
First Lady,ÇáÓíÏÉ ÇáÃæáì
First Shoes (ASH),ÇáÃÍĞíÉ ÇáÃæáì (ASH)
Firuzy Restaurant,ãØÚã İíÑæÒí
Five Circle,ÎãÓ ÏæÇÆá
"Five, Ten, Fifteen","ÎãÓÉ ¡ ÚÔÑÉ ¡ ÎãÓÉ ÚÔÑ"
Biofood,ÇáÃÛĞíÉ ÇáÍíæíÉ
Four Seasons,İæÑÓíÒæäÒ
Fozan (Hardware),İæÒÇä (ÇáÃÌåÒÉ)
Fozan (Electrical),İæÒÇä (ßåÑÈÇÆí)
France Scarf (FS),æÔÇÍ İÑäÓÇ (FS)
Free Home Delivery,ÊæÕíá ãÌÇäí ááãäÇÒá
French Designer,ãÕãã İÑäÓí
Fresh Samboosah,ÓãÈæÓÉ ØÇÒÌÉ
Funel,İæäíá
Fursan Sweets and Nuts,İÑÓÇä ÍáæíÇÊ æãßÓÑÇÊ
Future Digital Solutions,Íáæá ÇáãÓÊŞÈá ÇáÑŞãíÉ
Future Science for Electronics,Úáã ÇáãÓÊŞÈá ááÅáßÊÑæäíÇÊ
Gahwa Al-Arabia (Arabian Coffee),ŞåæÉ ÇáÚÑÈíÉ (ŞåæÉ ÚÑÈíÉ)
Ghada (KS),ÛÇÏÉ (ßÇäÓÇÓ)
GCC Olayan,ÇáÚáíÇä ÇáÎáíÌí
General Dynamics,ÇáÏíäÇãíÇÊ ÇáÚÇãÉ
General Store,ÇáãÊÌÑ ÇáÚÇã
Ghader,ÛÏíÑ
Ghali Yarkhaslak,ÛÇáí íÑÎÓáß
Giant Store,ãÊÌÑ ÚãáÇŞ
Gift,åÏíÉ
Gifts Door,ÈÇÈ ÇáåÏÇíÇ
Gift House,ÈíÊ ÇáåÏÇíÇ
Gift World,ÚÇáã ÇáåÏÇíÇ
Good Morning USA,ÕÈÇÍ ÇáÎíÑ ÇáæáÇíÇÊ ÇáãÊÍÏÉ ÇáÃãÑíßíÉ
Golden Carwash,ÛÓíá ÇáÓíÇÑÇÊ ÇáĞåÈí
Golden Crown,ÇáÊÇÌ ÇáĞåÈí
Golden Fertilizer,ÓãÇÏ ĞåÈí
Gosaibi Services,ÎÏãÇÊ ÇáŞÕíÈí
Green Fields Fertilzer,ÌÑíä İíáÏÒ İÑÊíáÒÑ
Green Tea,ÔÇí ÃÎÖÑ
Green Wings,ÃÌäÍÉ ÎÖÑÇÁ
Gulf Metro,ãÊÑæ ÇáÎáíÌ
Gulf Samposa,ÓãÈæÓÇ ÇáÎáíÌ
Gulf Uniform,ÇáÒí ÇáÎáíÌí
Hababah Fashions,ÃÒíÇÁ ÍÈÇÈÉ
Hadded TSD,TSD ãÏÑÌ
Ramzi Al-Khabaz Pharmacy,ÕíÏáíÉ ÑãÒí ÇáÎÈÇÒ
Hadiyah for Dates,åÏíÉ ááÊãæÑ
Hali Restaurant,ãØÚã åÇáí
Ahlan Wa Sallan (Gahwa Al-Arabia),ÃåáÇ æÓáÇä (ŞåæÉ ÇáÚÑÈíÉ)
Hamad Trading,ÍãÏ ááÊÌÇÑÉ
Hana Chicken,åÇäÇ ÏÌÇÌ
Happy Night,áíáÉ ÓÚíÏÉ
Harees,ÇáåÑíÓ
Hassan A.S. Al-Khadar,ÍÓä ÚÈÏÇáÕãÏ ÇáÎÖÑ
Hassan Food Center,ãÑßÒ ÍÓä ááãÃßæáÇÊ
Hayat,ÍíÇÉ
Hayil Shopping Center,ãÑßÒ åÇíá ááÊÓæŞ
Hazana,ÍÒÇäÉ
Hadiya,åÏíÉ
Heat Establishment,ãÄÓÓÉ ÇáÍÑÇÑÉ
Hempel,åãÈá
Hina Abu Al-Ez,ÍäÇ ÃÈæ ÇáÚÒ
Homestyle,åæã ÓÊÇíá
Horia Trading Establishment,ãÄÓÓÉ ÍæÑíÉ ÇáÊÌÇÑíÉ
Hot Meals,æÌÈÇÊ ÓÇÎäÉ
Humrani,ÍãÑÇäí
Husaiki,åæÓÇíßí
Husain Al-Tahir Trading Establisment,ÍÓíä ÇáØÇåÑ ááÊÃÓíÓ ÇáÊÌÇÑí
Hussain Al-Tahir Al-Qattan,ÍÓíä ÇáØÇåÑ ÇáŞØÇä
Huya,åæíÇ
Huzam Special Gifts,åÏÇíÇ åÒÇã ÇáÎÇÕÉ
Hydeah,åíÏíå
Ibn Sina,ÇÈä ÓíäÇ
Ibrahim Engineering Consultant,ÅÈÑÇåíã ááÇÓÊÔÇÑÇÊ ÇáåäÏÓíÉ
Ibrahim Trading,ÅÈÑÇåíã ááÊÌÇÑÉ
Infected Waste,ÇáäİÇíÇÊ ÇáãÕÇÈÉ
Infectious Medical Waste,ÇáäİÇíÇÊ ÇáØÈíÉ ÇáãÚÏíÉ
Intercontinental Hotel,İäÏŞ ÅäÊÑßæäÊíääÊÇá
International Paints,ÇáÏåÇäÇÊ ÇáÏæáíÉ
Iram Palace,ŞÕÑ ÅÑã
Iranian and Arabic Food,ãÃßæáÇÊ ÅíÑÇäíÉ æÚÑÈíÉ
Isam O. Al-Ali Establishment,ãÄÓÓÉ ÚÕÇã Èä ÚÈÏÇáÚáí
ISCOL,ÅíÓßæá
Isolation Linen,ÈíÇÖÇÊ ÇáÚÒá
Issah Al-Dossary,ÚíÓì ÇáÏæÓÑí
Italian Rose,ÇáæÑÏ ÇáÅíØÇáí
Jabr Trading,ÌÈÑ ááÊÌÇÑÉ
Jameel Exhibition,ãÚÑÖ Ìãíá
Janat Al-Ahram,ÌäÉ ÇáÃåÑÇã
Janob Charcoal,İÍã ÌÇäæÈ
Jarash,ÌÑÔ
Jawad Al-Moghanni Establishment,ãÄÓÓÉ ÌæÇÏ ÇáãÛÇäí
Jawharah Center,ãÑßÒ ÌæåÑÉ
Jawhareat Hajer Complex,ãÌãÚ ÌæåÑÇÊ åÇÌÑ
Jawharia Coal,ÇáİÍã ÌæåÑíÇ
Jazeera Lil Jalabiyat,ÇáÌÒíÑÉ áíá ÌáÇÈíÇÊ
Jazeera Restaurant,ãØÚã ÇáÌÒíÑÉ
Jazim,ÌÇÒíã
Jazirah Arabia,ÇáÌÒíÑÉ ÇáÚÑÈíÉ
Jazeera Al-Binaa Trading Establishment,ãÄÓÓÉ ÇáÌÒíÑÉ ÇáÈäÇÁ ÇáÊÌÇÑíÉ
Jeans Apparel,ãáÇÈÓ ÇáÌíäÒ
Jeans Kemp,ÌíäÒ ßíãÈ
Jeel Branch,İÑÚ Ìíá
Jinah Al-Akhder,ÌäÇÍ ÇáÃÎÖÑ
Jnoub Shopping Center,ãÑßÒ ÊÓæŞ ÌäæÈ
JP Center,ãÑßÒ Ìí Èí
Jubail Coldstore,ÇáÌÈíá ßæáÏÓÊæÑ
Juhairan Shopping Center,ãÑßÒ ÌåíÑÇä ááÊÓæŞ
Joory Palace,ÌæÑí ÈÇáÇÓ
KA,ßÇ
Kabayan Supermarket,Kabayan ÓæÈÑ ãÇÑßÊ
KAFA,ßİì
Kaldi,ßÇáÏí
Kan Zaman Restaurant,ãØÚã ßÇä ÒãÇä
Kanari,ßäÇÑí
Karbala,ßÑÈáÇÁ
Kareem Trading Establishment,ãÄÓÓÉ ßÑíã ÇáÊÌÇÑíÉ
Katwati,ßÇÊæÇÊí
kawkab Al-Ard,ßæßÈ ÇáÃÑÖ
Kayed,ßÇíÏ
Kenzy,ßíäÒí
Khafji Joint Operation,ÚãáíÉ ÇáÎİÌí ÇáãÔÊÑßÉ
Khaial,ÎíÇá
Khair,ÇáÎíÑ
Khaldon Al-Emerini,ÎáÏæä ÇáÇãÑíäí
Khaleed S. Al-Sana Establishment,ãÄÓÓÉ ÎÇáÏ Èä ÕÇáÍ ÇáÕäÚÇÁ
Khaleej Restaurant,ãØÚã ÇáÎáíÌ
Khatif Al-Adwa,ÎØÇÈ ÇáÚÏæÉ
Khayam Studio,ÇÓÊæÏíæ ÇáÎíÇã
Khobar Discount Center,ãÑßÒ ÇáÎÈÑ ááÎÕã
Khobar Plastic,ÇáÎÈÑ ÈáÇÓÊíß
Khonaini Supermarket,Îæäíäí ÓæÈÑ ãÇÑßÊ
Kulsum,ßáÓæã
Kwatim Hadramoth,ßæÇÊíã åÇÏÑÇãæÊ
La Poire,áÇ ÈæÇÑ
La Sani,áÇ ÓÇäí
Lamsat Shahad,áãÓÇÊ ÔåÏ
Last Over,ÂÎÑ
Lateefa Hamed Al-Dossary Ladies Tailoring,áØíİÉ ÍÇãÏ ÇáÏæÓÑí ááÎíÇØÉ ÇáäÓÇÆíÉ
Latif,áØíİ
Laundry Bag,ÍŞíÈÉ ÛÓíá
Lewan Restaurant,ãØÚã áíæÇä
Lias,áíÇÓ
Libanon Green Restaurant,ãØÚã áíÈÇäæä ÌÑíä
Lights Trading Establishment,ãÄÓÓÉ ÇáÃÖæÇÁ ÇáÊÌÇÑíÉ
Lilas,áíáÇÓ
Lily,ÒäÈŞ
501 Shoppe,501 ÔæÈí
Lolo,áæáæ
Lora Saleh Qatani,áíÑÉ ÕÇáÍ ŞØÇäí
Lord,ÑÈ
Lucky Center,ãÑßÒ ÇáÍÙ
Luluat Al-Ferdos Pharmacy,ÕíÏáíÉ áæáæÇÊ ÇáİÑÏæÓ
Lulu Al-Mazara,áæáæ ÇáãÒÇÑÉ
Lulu Ladies Center,ãÑßÒ Çááæáæ ááÓíÏÇÊ
Madyafix,ãÇÏíÇİíßÓ
Mafares Sufra,ãİÇÑÓ ÓİÑÉ
Mahdi Al-Hutaili,ãåÏí ÇáÍØíáí
Mahdi Al-Hutaila Establishment,ãÄÓÓÉ ãåÏí ÇáÍØíáÉ
Mais AL-Rim,ãíÓ ÇáÑíã
Majdi House Needset,ãÌÏí åÇæÓ äíÏÓÊíÊ
Majed Fashion,ãÇÌÏ İÇÔæä
Majid Toys,ÃáÚÇÈ ãÇÌÏ
Makati Shopping Center,ãÑßÒ ãÇßÇÊí ááÊÓæŞ
Malaki,ãáÇßí
Malallah,ãááå
Malaz International,ãáÇĞ ÇáÏæáíÉ
Malboosath Arkan,ãÇáÈæÓÇË ÃÑßÇä
Malbusati,ãÇáÈæÓÊí
Malki,ÇáãÇáßí
Manakhel,ãäÇÎíá
Manameen,ÇáãäÇãíä
Manara Electric Co. Ltd.,ÔÑßÉ ÇáãäÇÑÉ ÇáßåÑÈÇÆíÉ ÇáãÍÏæÏÉ
Manhali Shopping Center,ãÑßÒ ãäåÇáí ááÊÓæŞ
Mani,ãÇäí
Manila,ãÇäíáÇ
Mansoor Pharmacy,ÕíÏáíÉ ãäÕæÑ
Markaz Al-Faizal Meat,ãÑßÒ ÇáİíÕá ááÍæã
Marosh,ãÑæÔ
Mashwi Corner,Ñßä ãÔæí
Mazaya Al-Asaar,ãÒÇíÇ ÇáÚÕÇÑ
Mazaya Food,ãÒÇíÇ İæÏ
Multipurpose Cooperative (MCS),ÊÚÇæäíÉ ãÊÚÏÏÉ ÇáÃÛÑÇÖ (MCS)
Sabic Medical Clinic Services,ÎÏãÇÊ ÚíÇÏÉ ÓÇÈß ÇáØÈíÉ
Metro Center,ãÑßÒ ÇáãÊÑæ
Midhal Hotel,İäÏŞ ãíÏåÇá
Millenium,ÇáÇáİíå
Mina Center,ãÑßÒ ãíäÇ
Mira Center,ãÑßÒ ãíÑÇ
Mirage Studio,ÇÓÊæÏíæ ãíÑÇÌ
Maharaja Palace Hotel,İäÏŞ ãåÑÇÌÇ ÈÇáÇÓ
Mama,ãÇãÇ
Modern Center Textiles,ÇáãäÓæÌÇÊ ÇáãÑßÒíÉ ÇáÍÏíËÉ
Modern Plastic Bag Factory,ãÕäÚ ÇáÃßíÇÓ ÇáÈáÇÓÊíßíÉ ÇáÍÏíËÉ
Modiest Fashion,ãæÏÓÊ ãæÖÉ
Modka Sweets,ÍáæíÇÊ ãæÏßÇ
Mohammed Shihab,ãÍãÏ ÔåÇÈ
Mohammad Mubarak,ãÍãÏ ãÈÇÑß
Mohammed Al-Sodair Trading Establishment,ãÄÓÓÉ ãÍãÏ ÇáÓÏíÑ ááÊÌÇÑÉ
Shaqsiyah Al-Momiaza,ÔŞíÉ ÇáãæãíÇÒÉ
Moulood,ãæáæÏ
Mozaini Trading,ãÒíäí ááÊÌÇÑÉ
Mukhaizeem Shopping Center,ãÑßÒ ãÎíÒíã ááÊÓæŞ
Muhktara Trading,ãÎÊÇÑÉ ááÊÌÇÑÉ
Mulaiki Fashion (MF),ãæáÇíßí İÇÔæä (MF)
Mulif Food Stuff,ãæáíİ ááãæÇÏ ÇáÛĞÇÆíÉ
Mumaiza,ãÚíÒÉ
Muthana,ãËäì
Mutref,ãØÑİ
MVC,MVC
My Aqar. Com,ÚŞÇÑí ßæã
My Baby,ÍÈíÈí
My Game,áÚÈÊí
Naemah,äÚãÉ
Nahed Trading Establishment,ãÄÓÓÉ äÇåÖ ÇáÊÌÇÑíÉ
Mijana Restaurant,ãØÚã ãíÌÇäÇ
Naher Al-Kerat,äÇåÑ ÇáßÑÇÊ
Naji Building Materials Supply,äÇÌí áÊæÑíÏ ãæÇÏ ÇáÈäÇÁ
Najma Al-Shawq Fashion,äÌãÉ ÇáÔæŞ ááÃÒíÇÁ
Najma Al-Fadhiya,äÌãÉ ÇáİÇÖíÉ
Namer,äÇãÑ
Naseym Gulf,äÓíã ÇáÎáíÌ
Nashwa,äÔæì
